일자,시도명,읍면동명,평균 기온,일강수량,최대 풍속,업종명,이용금액,데이터기준일자
2018-01-01,서귀포시,예래동,5.3,0,2,골프장 운영업,198735700,2020-12-15
2018-01-01,제주시,아라동,1.6,0,1.8,건강보조식품 소매업,2250000,2020-12-15
2018-01-01,제주시,삼양동,4.2,0,3.3,건강보조식품 소매업,690000,2020-12-15
2018-01-01,제주시,조천읍,4.2,0,3.3,건강보조식품 소매업,4700000,2020-12-15
2018-01-01,제주시,화북동,4.2,0,3.3,건강보조식품 소매업,13151280,2020-12-15
2018-01-01,제주시,추자면,5.7,0,1.8,과실 및 채소 소매업,13569170,2020-12-15
2018-01-01,제주시,우도면,6.7,0,4.4,과실 및 채소 소매업,5096000,2020-12-15
2018-01-01,서귀포시,대정읍,7.4,0,8.4,건강보조식품 소매업,7267050,2020-12-15
2018-01-01,제주시,애월읍,1.9,0,2.4,건강보조식품 소매업,535000,2020-12-15
2018-01-01,서귀포시,안덕면,5.1,0,3.1,건강보조식품 소매업,329000,2020-12-15
2018-01-01,제주시,노형동,-2.3,0,1.1,건강보조식품 소매업,38856665,2020-12-15
2018-01-01,제주시,연동,-2.3,0,1.1,건강보조식품 소매업,125651670,2020-12-15
2018-01-01,제주시,한경면,5.7,0,3.8,골프장 운영업,208387800,2020-12-15
2018-01-01,제주시,한림읍,5.7,0,3.8,건강보조식품 소매업,3204100,2020-12-15
2018-01-01,서귀포시,남원읍,6.4,0,4.2,건강보조식품 소매업,789000,2020-12-15
2018-01-01,서귀포시,효돈동,6.4,0,4.2,과실 및 채소 소매업,47655854,2020-12-15
2018-01-01,제주시,구좌읍,6.2,0,5.2,골프장 운영업,160000450,2020-12-15
2018-01-01,서귀포시,성산읍,4.8,0,3.1,건강보조식품 소매업,745000,2020-12-15
2018-01-01,서귀포시,표선면,4.8,0,3.1,건강보조식품 소매업,12194800,2020-12-15
2018-01-01,제주시,도두동,5,0,2.5,건강보조식품 소매업,335000,2020-12-15
2018-01-01,제주시,외도동,5,0,2.5,건강보조식품 소매업,3929700,2020-12-15
2018-01-01,제주시,이호동,5,0,2.5,건강보조식품 소매업,2782750,2020-12-15
2018-01-01,제주시,삼도2동,2.9,0,2.4,건강보조식품 소매업,106000,2020-12-15
2018-01-01,제주시,삼도1동,2.9,0,2.4,건강보조식품 소매업,13590670,2020-12-15
2018-01-01,제주시,오라동,2.9,0,2.4,골프장 운영업,205065672,2020-12-15
2018-01-01,제주시,용담2동,2.9,0,2.4,건강보조식품 소매업,571000,2020-12-15
2018-01-01,제주시,용담1동,2.9,0,2.4,건강보조식품 소매업,230000,2020-12-15
2018-01-01,제주시,이도2동,2.9,0,2.4,건강보조식품 소매업,13725800,2020-12-15
2018-01-01,제주시,이도1동,2.9,0,2.4,건강보조식품 소매업,19457100,2020-12-15
2018-01-01,제주시,일도2동,2.9,0,2.4,건강보조식품 소매업,2744500,2020-12-15
2018-01-01,제주시,일도1동,2.9,0,2.4,건강보조식품 소매업,1005000,2020-12-15
2018-01-01,제주시,건입동,0.8,0,2.6,건강보조식품 소매업,1286200,2020-12-15
2018-01-01,제주시,봉개동,0.8,0,2.6,골프장 운영업,87438020,2020-12-15
2018-01-02,서귀포시,예래동,6.9,0,1.3,골프장 운영업,198735700,2020-12-15
2018-01-02,제주시,아라동,2.7,0,1.5,건강보조식품 소매업,2250000,2020-12-15
2018-01-02,제주시,삼양동,5,0,1.9,건강보조식품 소매업,690000,2020-12-15
2018-01-02,제주시,조천읍,5,0,1.9,건강보조식품 소매업,4700000,2020-12-15
2018-01-02,제주시,화북동,5,0,1.9,건강보조식품 소매업,13151280,2020-12-15
2018-01-02,제주시,추자면,6.8,0,2.2,과실 및 채소 소매업,13569170,2020-12-15
2018-01-02,제주시,우도면,8,0,3,과실 및 채소 소매업,5096000,2020-12-15
2018-01-02,서귀포시,대정읍,9.3,0,,건강보조식품 소매업,7267050,2020-12-15
2018-01-02,제주시,애월읍,3.1,0,1.7,건강보조식품 소매업,535000,2020-12-15
2018-01-02,서귀포시,안덕면,6.4,0,2.5,건강보조식품 소매업,329000,2020-12-15
2018-01-02,제주시,노형동,-0.4,0,0.6,건강보조식품 소매업,38856665,2020-12-15
2018-01-02,제주시,연동,-0.4,0,0.6,건강보조식품 소매업,125651670,2020-12-15
2018-01-02,제주시,한경면,6.9,0,2.9,골프장 운영업,208387800,2020-12-15
2018-01-02,제주시,한림읍,6.9,0,2.9,건강보조식품 소매업,3204100,2020-12-15
2018-01-02,서귀포시,남원읍,7.7,0,3.7,건강보조식품 소매업,789000,2020-12-15
2018-01-02,서귀포시,효돈동,7.7,0,3.7,과실 및 채소 소매업,47655854,2020-12-15
2018-01-02,제주시,구좌읍,6.9,0,3.1,골프장 운영업,160000450,2020-12-15
2018-01-02,서귀포시,성산읍,5.3,0,2.8,건강보조식품 소매업,745000,2020-12-15
2018-01-02,서귀포시,표선면,5.3,0,2.8,건강보조식품 소매업,12194800,2020-12-15
2018-01-02,제주시,도두동,6,0,2.1,건강보조식품 소매업,335000,2020-12-15
2018-01-02,제주시,외도동,6,0,2.1,건강보조식품 소매업,3929700,2020-12-15
2018-01-02,제주시,이호동,6,0,2.1,건강보조식품 소매업,2782750,2020-12-15
2018-01-02,제주시,삼도2동,3.8,0,2.7,건강보조식품 소매업,106000,2020-12-15
2018-01-02,제주시,삼도1동,3.8,0,2.7,건강보조식품 소매업,13590670,2020-12-15
2018-01-02,제주시,오라동,3.8,0,2.7,골프장 운영업,205065672,2020-12-15
2018-01-02,제주시,용담2동,3.8,0,2.7,건강보조식품 소매업,571000,2020-12-15
2018-01-02,제주시,용담1동,3.8,0,2.7,건강보조식품 소매업,230000,2020-12-15
2018-01-02,제주시,이도2동,3.8,0,2.7,건강보조식품 소매업,13725800,2020-12-15
2018-01-02,제주시,이도1동,3.8,0,2.7,건강보조식품 소매업,19457100,2020-12-15
2018-01-02,제주시,일도2동,3.8,0,2.7,건강보조식품 소매업,2744500,2020-12-15
2018-01-02,제주시,일도1동,3.8,0,2.7,건강보조식품 소매업,1005000,2020-12-15
2018-01-02,제주시,건입동,1,0,1.5,건강보조식품 소매업,1286200,2020-12-15
2018-01-02,제주시,봉개동,1,0,1.5,골프장 운영업,87438020,2020-12-15
2018-01-03,서귀포시,예래동,6.9,0,2.2,골프장 운영업,198735700,2020-12-15
2018-01-03,제주시,아라동,1.1,0,2.5,건강보조식품 소매업,2250000,2020-12-15
2018-01-03,제주시,삼양동,3,0,4.3,건강보조식품 소매업,690000,2020-12-15
2018-01-03,제주시,조천읍,3,0,4.3,건강보조식품 소매업,4700000,2020-12-15
2018-01-03,제주시,화북동,3,0,4.3,건강보조식품 소매업,13151280,2020-12-15
2018-01-03,제주시,추자면,3.6,0,2.2,과실 및 채소 소매업,13569170,2020-12-15
2018-01-03,제주시,우도면,5.1,0,5.2,과실 및 채소 소매업,5096000,2020-12-15
2018-01-03,서귀포시,대정읍,6.3,0,12,건강보조식품 소매업,7267050,2020-12-15
2018-01-03,제주시,애월읍,0.8,0,3.5,건강보조식품 소매업,535000,2020-12-15
2018-01-03,서귀포시,안덕면,3.9,0,5.9,건강보조식품 소매업,329000,2020-12-15
