기준 연도,측정 구분,시군구,읍면동,대기오염도(μg/m³)
201001,도시대기,제주,이도동,45
201001,도시대기,제주,연동,61
201001,도시대기,서귀포,동홍동,56
201001,국가배경농도,북제주,고산리,51
201002,도시대기,제주,이도동,44
201002,도시대기,제주,연동,42
201002,도시대기,서귀포,동홍동,38
201002,국가배경농도,북제주,고산리,39
201003,도시대기,제주,이도동,76
201003,도시대기,제주,연동,66
201003,도시대기,서귀포,동홍동,70
201003,국가배경농도,북제주,고산리,50
201004,도시대기,제주,이도동,55
201004,도시대기,제주,연동,44
201004,도시대기,서귀포,동홍동,43
201004,국가배경농도,북제주,고산리,46
201005,도시대기,제주,이도동,68
201005,도시대기,제주,연동,53
201005,도시대기,서귀포,동홍동,52
201005,국가배경농도,북제주,고산리,57
201006,도시대기,제주,이도동,44
201006,도시대기,제주,연동,34
201006,도시대기,서귀포,동홍동,34
201006,국가배경농도,북제주,고산리,43
201007,도시대기,제주,이도동,35
201007,도시대기,제주,연동,27
201007,도시대기,서귀포,동홍동,30
201007,국가배경농도,북제주,고산리,38
201008,도시대기,제주,이도동,32
201008,도시대기,제주,연동,26
201008,도시대기,서귀포,동홍동,27
201008,국가배경농도,북제주,고산리,38
201009,도시대기,제주,이도동,29
201009,도시대기,제주,연동,29
201009,도시대기,서귀포,동홍동,28
201009,국가배경농도,북제주,고산리,40
201010,도시대기,제주,이도동,51
201010,도시대기,제주,연동,45
201010,도시대기,서귀포,동홍동,38
201010,국가배경농도,북제주,고산리,46
201011,도시대기,제주,이도동,102
201011,도시대기,제주,연동,81
201011,도시대기,서귀포,동홍동,77
201011,국가배경농도,북제주,고산리,79
201012,도시대기,제주,이도동,49
201012,도시대기,제주,연동,54
201012,도시대기,서귀포,동홍동,55
201012,국가배경농도,북제주,고산리,62
201101,도시대기,제주,이도동,24
201101,도시대기,제주,연동,34
201101,도시대기,서귀포,동홍동,38
201101,국가배경농도,북제주,고산리,44
201102,도시대기,제주,이도동,47
201102,도시대기,제주,연동,57
201102,도시대기,서귀포,동홍동,58
201102,국가배경농도,북제주,고산리,60
201103,도시대기,제주,이도동,42
201103,도시대기,제주,연동,54
201103,도시대기,서귀포,동홍동,52
201103,국가배경농도,북제주,고산리,54
201104,도시대기,제주,이도동,45
201104,도시대기,제주,연동,56
201104,도시대기,서귀포,동홍동,53
201104,국가배경농도,북제주,고산리,58
201105,도시대기,제주,이도동,70
201105,도시대기,제주,연동,83
201105,도시대기,서귀포,동홍동,88
201105,국가배경농도,북제주,고산리,83
