district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
건입동,0.107413332,0.131738288,0.17474629,0.160830812,0.245791192,0.331830626,0.45089774,0.585279209,1,0.273492661,0.051380226,0.0862638775
구좌읍,0.0350735649,0.0371656598,0.0936014433,0.0875069474,0.165250616,0.190535005,0.27210284,0.180530018,0.648675354,0.163178833,0.0216760329,0.045864103
남원읍,0.0440512926,0.0772120125,0.110866304,0.153873073,0.303635552,0.218633566,0.21808109,0.22248363,0.403942396,0.198658122,0.0214084275,0.0642511798
노형동,0.143457049,0.126512058,0.15851732,0.147093737,0.2944781,0.312563042,0.552156149,0.626867712,0.957759526,0.547112545,0.0789435764,0.121225221
대정읍,0.0366274024,0.0403769239,0.0537196147,0.0985679683,0.102760452,0.188661767,0.128217489,0.254078325,0.246196916,0.135727704,0.00749294963,0.0267001074
도두동,0.0497486967,0.0331988041,0.0583811271,0.0586055703,0.0681357735,0.176619527,0.228957953,0.309239556,0.456802322,0.291370425,0.016323926,0.0582948028
봉개동,0.107413332,0.131738288,0.17474629,0.160830812,0.245791192,0.331830626,0.45089774,0.585279209,1,0.273492661,0.051380226,0.0862638775
삼도1동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
삼도2동,0.0702075568,0.0488854536,0.0401880261,0.0894578767,0.0780515586,0.107758629,0.202844851,0.27401924,0.326072795,0.457863672,0.310016475,0.0321126413
성산읍,0.0556187494,0.0908126605,0.121397869,0.154943494,0.153864299,0.236830729,0.241388653,0.216527253,0.539224768,0.225850278,0.016323926,0.0525973987
아라동,0.0801924014,0.0783453998,0.121052572,0.0894693866,0.130548246,0.231746228,0.358962355,0.622596781,0.796393503,0.401692886,0.0329154573,0.0693097841
안덕면,0.0492307508,0.0621001813,0.0854869587,0.0910750187,0.229993844,0.192675848,0.142461,0.320375391,0.297041932,0.118635492,0.0291689825,0.0541512362
애월읍,0.083587824,0.0702227905,0.0939467406,0.0859013154,0.166286508,0.20632372,0.249675786,0.45271055,0.552605035,0.270911565,0.0441548817,0.0751280422
연동,0.143457049,0.126512058,0.15851732,0.147093737,0.2944781,0.312563042,0.552156149,0.626867712,0.957759526,0.547112545,0.0789435764,0.121225221
예래동,0.0473316161,0.0575666319,0.0780630685,0.12818296,0.298362694,0.238971572,0.156186564,0.181239009,0.294633484,0.144014837,0.0149858993,0.0417205364
오라동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
외도동,0.0497486967,0.0331988041,0.0583811271,0.0586055703,0.0681357735,0.176619527,0.228957953,0.309239556,0.456802322,0.291370425,0.016323926,0.0582948028
용담1동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
용담2동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
우도면,0.0274770261,0.0361649508,0.0894578767,0.0973191434,0.141425108,0.181436423,0.243719409,0.160848077,0.511393812,0.137799487,0.0350563,0.0456051301
이도1동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
이도2동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
이호동,0.0497486967,0.0331988041,0.0583811271,0.0586055703,0.0681357735,0.176619527,0.228957953,0.309239556,0.456802322,0.291370425,0.016323926,0.0582948028
일도1동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
일도2동,0.0687400437,0.0518996952,0.0951552808,0.0750186981,0.0831254769,0.201239219,0.247086057,0.476018112,0.674365467,0.359221328,0.0291689825,0.0702075568
조천읍,0.0488854536,0.0401880261,0.0894578767,0.0780515586,0.107758629,0.202844851,0.27401924,0.326072795,0.457863672,0.310016475,0.0321126413,0.0463820488
추자면,0.0060685986,0.0124200363,0.0618340993,0.0627088522,0.099730469,0.166718129,0.126404679,0.146604566,0.175381285,0.148158404,0,0.0176360554
표선면,0.0556187494,0.0908126605,0.121397869,0.154943494,0.153864299,0.236830729,0.241388653,0.216527253,0.539224768,0.225850278,0.016323926,0.0525973987
한경면,0.0402530232,0.0445326775,0.0516478314,0.0636008701,0.16291986,0.191070216,0.151266079,0.250452705,0.331295416,0.129512354,0.0133802672,0.0562230195
한림읍,0.0402530232,0.0445326775,0.0516478314,0.0636008701,0.16291986,0.191070216,0.151266079,0.250452705,0.331295416,0.129512354,0.0133802672,0.0562230195
화북동,0.0488854536,0.0401880261,0.0894578767,0.0780515586,0.107758629,0.202844851,0.27401924,0.326072795,0.457863672,0.310016475,0.0321126413,0.0463820488
효돈동,0.0440512926,0.0772120125,0.110866304,0.153873073,0.303635552,0.218633566,0.21808109,0.22248363,0.403942396,0.198658122,0.0214084275,0.0642511798
