district,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
건입동,0.0828371496,0.112578237,0.268374794,0.391979467,0.586599287,0.665601148,0.796462853,0.838984229,0.687529498,0.477701904,0.329479794,0.164408769
구좌읍,0.253818431,0.276170681,0.403898267,0.516901678,0.675617046,0.769750909,0.924306912,0.991098224,0.857149824,0.670492031,0.507433199,0.337181603
남원읍,0.285021301,0.312515483,0.436108886,0.541739561,0.685724893,0.779454302,0.915797038,0.99171407,0.863932996,0.680371112,0.536127897,0.365958413
노형동,0,0.04973542,0.211791598,0.337405547,0.516728743,0.60236868,0.743701635,0.771150059,0.637952693,0.394679237,0.244321337,0.0763987582
대정읍,0.325592498,0.346777605,0.445327916,0.53429591,0.657538654,0.771412845,0.907230229,0.981184968,0.888447871,0.726788261,0.595195006,0.420656747
도두동,0.229483177,0.247258187,0.380757382,0.490945319,0.672257885,0.763197831,0.917924506,0.983932015,0.830827067,0.637266628,0.482267487,0.30135698
봉개동,0.0828371496,0.112578237,0.268374794,0.391979467,0.586599287,0.665601148,0.796462853,0.838984229,0.687529498,0.477701904,0.329479794,0.164408769
삼도1동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
삼도2동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
삼양동,0.213732446,0.238478263,0.375308077,0.493336543,0.679256137,0.75681305,0.904487863,0.960641833,0.812372211,0.620694768,0.47110201,0.298271324
성산읍,0.233850086,0.257671586,0.394604589,0.516051879,0.678696276,0.770255801,0.913781541,0.979621092,0.844653746,0.646392348,0.487937004,0.311258243
아라동,0.125797083,0.156151162,0.311521347,0.440112508,0.634355355,0.713965598,0.849056205,0.893346647,0.745090088,0.538227372,0.386753484,0.216699705
안덕면,0.234148678,0.261714434,0.389901764,0.505986894,0.667163158,0.755214225,0.897433626,0.950396393,0.817578911,0.625677523,0.485970028,0.320801962
애월읍,0.127028775,0.154558524,0.309356555,0.44173237,0.634243383,0.717321026,0.870504354,0.916132954,0.763139979,0.545225624,0.38507577,0.216531747
연동,0,0.04973542,0.211791598,0.337405547,0.516728743,0.60236868,0.743701635,0.771150059,0.637952693,0.394679237,0.244321337,0.0763987582
예래동,0.269979726,0.300672795,0.423821494,0.527122236,0.688325871,0.767247486,0.91170446,0.975770393,0.852503378,0.664027941,0.525830203,0.35504114
오라동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
외도동,0.229483177,0.247258187,0.380757382,0.490945319,0.672257885,0.763197831,0.917924506,0.983932015,0.830827067,0.637266628,0.482267487,0.30135698
용담1동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
용담2동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
우도면,0.282056071,0.31320971,0.429577185,0.525724249,0.662012445,0.759913002,0.900838677,0.976597847,0.858575538,0.697227647,0.557012545,0.369541518
이도1동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
이도2동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
이호동,0.229483177,0.247258187,0.380757382,0.490945319,0.672257885,0.763197831,0.917924506,0.983932015,0.830827067,0.637266628,0.482267487,0.30135698
일도1동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
일도2동,0.174504913,0.197069691,0.341857652,0.465914595,0.66783499,0.749602561,0.892674815,0.93837433,0.788189987,0.586375343,0.429101304,0.267613017
조천읍,0.213732446,0.238478263,0.375308077,0.493336543,0.679256137,0.75681305,0.904487863,0.960641833,0.812372211,0.620694768,0.47110201,0.298271324
추자면,0.236126851,0.259754265,0.380010902,0.480493352,0.623382097,0.731899784,0.876102955,0.938085069,0.825282389,0.673993451,0.510962184,0.323688974
표선면,0.233850086,0.257671586,0.394604589,0.516051879,0.678696276,0.770255801,0.913781541,0.979621092,0.844653746,0.646392348,0.487937004,0.311258243
한경면,0.256580407,0.274700554,0.399120794,0.517595905,0.673937465,0.774710421,0.935056226,1,0.848992662,0.660444837,0.503904214,0.336789701
한림읍,0.256580407,0.274700554,0.399120794,0.517595905,0.673937465,0.774710421,0.935056226,1,0.848992662,0.660444837,0.503904214,0.336789701
화북동,0.213732446,0.238478263,0.375308077,0.493336543,0.679256137,0.75681305,0.904487863,0.960641833,0.812372211,0.620694768,0.47110201,0.298271324
효돈동,0.285021301,0.312515483,0.436108886,0.541739561,0.685724893,0.779454302,0.915797038,0.99171407,0.863932996,0.680371112,0.536127897,0.365958413
